ident,date,object_title,object_id,legacy_object_id,status,message,output__123702788__COL$A,output__123702788__COL$B,output__123702788__COL$C,output__123702788__COL$D,output__123702788__COL$E,output__123702788__COL$F,output__123702788__COL$G,output__123702788__COL$H,output__123702788__COL$I,output__123702788__id,output__123702788__row
009c25b2-2030-a7a1-b367-bae9fb8bc6c1,2021-05-29T21:12:48.191470+00:00,Google Sheets → Adalo,123702788,,held,,"Одежда, обувь и аксессуары/Обувь/Обувь для девочек/Кеды",,Кеды,13699.00,gender:Женский|Размер:38|Цвет:Белый|Пол:Женский|Возраст:Детский|Материал:Кожа-100%,https://www.bebakids.ru/upload/iblock/m/45e/172483_467_1.jpeg,3999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fkedy-hs0026l-holala-467%2F%3Fsize%3D38,Holala,984,984
009c25b2-c01c-a73c-a912-7240cd928941,2021-05-29T21:12:46.846325+00:00,Google Sheets → Adalo,123702788,,held,,"Одежда, обувь и аксессуары/Обувь/Обувь для мальчиков/Кроссовки",,Кроссовки,2999.00,"gender:Мужской|Размер:27|Цвет:Красный|Пол:Мужской|Возраст:Для малышей|Материал:Текстиль, Искусственный материал",https://www.bebakids.ru/upload/iblock/m/b8f/200708_6_1.jpeg,1999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fkrossovki-so-svetodiodami-72603-1-kapika-6%2F%3Fsize%3D27,Kapika,985,985
009c25b2-620b-ace2-8d17-d42c9ab20221,2021-05-29T21:12:45.459067+00:00,Google Sheets → Adalo,123702788,,held,,"Одежда, обувь и аксессуары/Обувь/Обувь для девочек/Кроссовки",,Кроссовки,2799.00,"gender:Женский|Размер:27|Цвет:Разноцветный|Пол:Женский|Возраст:Для малышей|Материал:Текстиль, Искусственный материал",https://www.bebakids.ru/upload/iblock/m/cd8/200698_2961_1.jpeg,1999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fkrossovki-so-svetodiodami-72577-1-kapika-2961%2F%3Fsize%3D27,Kapika,986,986
009c25b2-76ac-ad73-9a18-de97c9a500a1,2021-05-29T21:12:44.085672+00:00,Google Sheets → Adalo,123702788,,held,,"Одежда, обувь и аксессуары/Обувь/Обувь для девочек/Ботинки",,Полуботинки,4299.00,"gender:Женский|Размер:25|Цвет:Розовый|Пол:Женский|Возраст:Для малышей|Материал:Кожа натуральная, Кожа искусственная",https://www.bebakids.ru/upload/iblock/m/76b/200659_1_1.jpeg,2999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fpolubotinki-21465k-2-kapika-1%2F%3Fsize%3D25,Kapika,987,987
009c25b2-7614-a32a-a98e-930ac86af7b1,2021-05-29T21:12:42.735323+00:00,Google Sheets → Adalo,123702788,,held,,"Одежда, обувь и аксессуары/Обувь/Обувь для мальчиков/Кроссовки",,Кроссовки,3299.00,"gender:Мужской|Размер:30|Цвет:Черный|Пол:Мужской|Возраст:Детский|Материал:Текстиль, Кожа искусственная",https://www.bebakids.ru/upload/iblock/m/cef/200724_1411_1.jpeg,2699.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fkrossovki-73621c-1-kapika-1411%2F%3Fsize%3D30,Kapika,988,988
009c25b2-d1f6-ab57-a680-1aa0ac8dc671,2021-05-29T21:12:40.450285+00:00,Google Sheets → Adalo,123702788,,held,,"Одежда, обувь и аксессуары/Обувь/Обувь для девочек/Кроссовки",,Кроссовки,3299.00,"gender:Женский|Размер:26|Цвет:Серый|Пол:Женский|Возраст:Для малышей|Материал:Текстиль, Искусственный материал",https://www.bebakids.ru/upload/iblock/m/03b/200696_12_1.jpeg,2399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fkrossovki-72575c-3-kapika-12%2F%3Fsize%3D26,Kapika,989,989
009c25b2-10d5-a46e-9d20-f130c7f21371,2021-05-29T21:08:39.306374+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Платья",,Платье,6399.00,"gender:Женский|Размер:164|Цвет:Розовый|Пол:Женский|Возраст:Детский|Материал:Полиэстер-80%, Эластан-20%",https://www.bebakids.ru/upload/iblock/m/d35/160302_67_1.jpeg,1999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fplate-y11944-y-clu-67%2F%3Fsize%3D164,Y-clu',1110,1110
009c25b2-12c0-ab59-a8b6-27067b967481,2021-05-29T21:08:37.391794+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Костюмы и форма",,Блуза,3999.00,"gender:Женский|Размер:122|Цвет:Белый|Пол:Женский|Возраст:Детский|Материал:Хлопок-60%, Вискоза-20%, Полиэстер-20%",https://www.bebakids.ru/upload/iblock/m/3df/182737_9_1.jpeg,2999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbluza-vstavka-s-tsvetami-29503-425-noble-people-9%2F%3Fsize%3D122,Noble People,1111,1111
009c25b2-cb59-a0d0-b7cb-970f4189a081,2021-05-29T21:08:36.015100+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Головные уборы",,Повязка,1799.00,"gender:Женский|Размер:54-58|Цвет:Зеленый|Пол:Женский|Возраст:Детский|Материал:Хлопок-95%, Эластан-5%",https://www.bebakids.ru/upload/iblock/m/53e/90703_11_1.jpeg,399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fpovyazka-bant-polosa-29517-252-noble-people-11%2F%3Fsize%3D54-58,Noble People,1112,1112
009c25b2-2666-ad81-8440-b2f5e81be691,2021-05-29T21:08:33.893104+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Обувь/Обувь для мальчиков/Сандалии",,Сандалии,1999.00,gender:Мужской|Размер:25|Цвет:Коричневый|Пол:Мужской|Возраст:Для малышей,https://www.bebakids.ru/upload/iblock/m/2cb/144892_485_1.jpeg,999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fsandalii-910.n.464-vicco-485%2F%3Fsize%3D25,Vicco,1113,1113
009c25b2-f800-a2f6-865e-e1b90034dbc1,2021-05-29T21:08:32.304327+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Комбинезоны",,Комбинезон,3899.00,"gender:Женский|Размер:152|Цвет:Разноцветный|Пол:Женский|Возраст:Детский|Материал:Хлопок-90%, Эластан-10%",https://www.bebakids.ru/upload/iblock/m/354/186325_61_1.jpeg,1999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fkombinezon-6.80867-mayoral-61%2F%3Fsize%3D152,Mayoral,1114,1114
009c25b2-daea-a0ee-a186-c44ca82eb951,2021-05-29T21:08:30.484743+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Джинсы",,Джинсы,6699.00,"gender:Женский|Размер:164|Цвет:Белый|Пол:Женский|Возраст:Детский|Материал:Хлопок-75%, Полиэстер-23%, Другие волокна-2%",https://www.bebakids.ru/upload/iblock/m/48d/206449_9167_1.jpeg,5699.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fdzhinsy-j1rb03wb5l0-guess-9167%2F%3Fsize%3D164,Guess,1115,1115
009c25b2-0488-a379-888b-f104d0bf6521,2021-05-29T21:08:28.971951+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Костюмы и форма",,Пиджак,3499.00,"gender:Мужской|Размер:146|Цвет:Синий|Пол:Мужской|Возраст:Детский|Материал:Хлопок-90%, Спандекс-10%",https://www.bebakids.ru/upload/iblock/m/971/184966_497_1.jpeg,2799.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fpidzhak-18611-21620-noble-people-497%2F%3Fsize%3D146,Noble People,1116,1116
009c25b2-75f7-a785-9a2d-e5f5a752a611,2021-05-29T21:08:26.603601+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Платья",,Платье,5599.00,gender:Женский|Размер:122|Цвет:Голубой|Пол:Женский|Возраст:Детский|Материал:Полиэстер-100%,https://www.bebakids.ru/upload/iblock/m/e34/184824_19_1.jpeg,3999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fplate-150920-selina-style-19%2F%3Fsize%3D122,Selina Style,1117,1117
009c25b2-1152-a756-ac43-92e94e583b41,2021-05-29T21:08:25.219062+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Обувь/Обувь для девочек/Сапоги",,Сапоги,2699.00,gender:Женский|Размер:31|Цвет:Розовый|Пол:Женский|Возраст:Детский|Материал:Текстиль-100%,https://www.bebakids.ru/upload/iblock/m/fb9/131058_160_1.jpeg,1399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fsapogi-738k-kapika-160%2F%3Fsize%3D31,Kapika,1118,1118
009c25b2-8adc-a378-ac8a-0b534d3860d1,2021-05-29T21:08:23.714823+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Платья",,Платье,6999.00,gender:Женский|Размер:140|Цвет:Черный|Пол:Женский|Возраст:Детский|Материал:Полиэстер-100%,https://www.bebakids.ru/upload/iblock/m/173/172462_7_1.jpeg,3599.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fplate-zvezdy-s-payetkami-i-biserom-29526-951-noble-people-7%2F%3Fsize%3D140,Noble People,1119,1119
009c25b2-e2d8-a77e-9a2b-c07c03220651,2021-05-29T21:08:22.385641+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Платья",,Платье,4499.00,gender:Женский|Размер:128|Цвет:Черный|Пол:Женский|Возраст:Детский,https://www.bebakids.ru/upload/iblock/m/c10/206238_256_1.jpeg,2299.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fplate-027053-dimensione-danza-256%2F%3Fsize%3D128,Dimensione Danza,1120,1120
009c25b2-a5c5-a616-bb98-05d6061fb9a1,2021-05-29T21:08:20.136727+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Платья",,Платье,3799.00,"gender:Женский|Размер:157|Цвет:Разноцветный|Пол:Женский|Возраст:Детский|Материал:Полиэстер-43%, Хлопок-42%, Полиамид-13%, Металл-2%",https://www.bebakids.ru/upload/iblock/m/b9c/186361_61_1.jpeg,1999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fplate-6.98651-mayoral-61%2F%3Fsize%3D157,Mayoral,1121,1121
009c25b2-f572-ae93-a561-2cbcfb099a61,2021-05-29T21:08:16.851341+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Платья",,Платье,4999.00,"gender:Женский|Размер:157|Цвет:Голубой|Пол:Женский|Возраст:Детский|Материал:Хлопок-99%, Металловолокно-1%",https://www.bebakids.ru/upload/iblock/m/639/201714_61_1.jpeg,3799.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fplate-6.92575-mayoral-61%2F%3Fsize%3D157,Mayoral,1122,1122
009c25b2-4aca-a086-a636-2c46e244d921,2021-05-29T21:08:15.363451+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Головные уборы",,Бейболка,1899.00,gender:Мужской|Размер:52-54|Цвет:Синий|Пол:Мужской|Возраст:Детский|Материал:Хлопок-100%,https://www.bebakids.ru/upload/iblock/m/1d2/164960_4_1.jpeg,999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbeybolka-mission-to-mars-18617-343-noble-people-4%2F%3Fsize%3D52-54,Noble People,1123,1123
009c25b2-901e-a6f3-a180-e21c61a55e11,2021-05-29T21:08:10.858333+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Костюмы и форма",,Платье,5799.00,"gender:Женский|Размер:164|Цвет:Синий|Пол:Женский|Возраст:Детский|Материал:Полиэстер-68%, Вискоза-25%, Шерсть-7%",https://www.bebakids.ru/upload/iblock/m/782/164372_497_1.jpeg,2999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fplate-s-krasnoy-lentoy-i-belyy-vorotnik-29526-832-noble-people-497%2F%3Fsize%3D164,Noble People,1124,1124
009c25b2-f5a3-a9e9-8c51-af750745d531,2021-05-29T21:08:09.422865+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Брюки",,Брюки,5999.00,"gender:Мужской|Размер:168|Цвет:Синий|Пол:Мужской|Возраст:Детский|Материал:Вискоза-70%, Полиамид-25%, Эластан-5%",https://www.bebakids.ru/upload/iblock/m/772/187613_44_1.jpeg,1899.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbryuki-pp2022-paolo-pecora-44%2F%3Fsize%3D168,Paolo Pecora,1125,1125
009c25b2-fbfe-a25a-a035-49a1a729ea61,2021-05-29T21:08:07.329370+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Футболки и топы",,Футболка+легинсы,2699.00,"gender:Женский|Размер:86|Цвет:Белый|Пол:Женский|Возраст:Для малышей|Материал:Хлопок-95%, Эластан-5%",https://www.bebakids.ru/upload/iblock/m/90a/185667_61_1.jpeg,1399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Ffutbolkaleginsy-komplekt-1.70565l-mayoral-61%2F%3Fsize%3D86,Mayoral,1126,1126
009c25b2-4d37-ab4c-a493-7bff39c5c911,2021-05-29T21:08:05.102489+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Комбинезоны",,Комбинезон,3599.00,"gender:Женский|Размер:152|Цвет:Белый|Пол:Женский|Возраст:Детский|Материал:Хлопок-95%, Эластан-5%",https://www.bebakids.ru/upload/iblock/m/4a4/201709_61_1.jpeg,2699.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fkombinezon-6.92763-mayoral-61%2F%3Fsize%3D152,Mayoral,1127,1127
009c25b2-5fcc-ac9a-b390-a4d5b2dfd9a1,2021-05-29T21:08:03.717353+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Верхняя одежда",,Куртка,3999.00,"gender:Мужской|Размер:116|Цвет:Синий|Пол:Мужской|Возраст:Детский|Материал:Хлопок-80%, Полиэстер-19%, Эластан-1%",https://www.bebakids.ru/upload/iblock/m/54b/202362_61_1.jpeg,2999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fkurtka-dzhinsovaya-3.40719-mayoral-61%2F%3Fsize%3D116,Mayoral,1128,1128
009c25b2-c6bd-abf6-a0d7-6531af4135d1,2021-05-29T21:08:01.656827+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Футболки и топы",,Футболка,3999.00,"gender:Женский|Размер:164|Цвет:Белый|Пол:Женский|Возраст:Детский|Материал:Хлопок-95%, Эластан-5%",https://www.bebakids.ru/upload/iblock/m/185/207883_9167_1.jpeg,3199.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Ffutbolka-j1gi31k6yw1-guess-9167%2F%3Fsize%3D164,Guess,1129,1129
009c25b2-cfd1-a10f-bba9-654b8a6a9a41,2021-05-29T21:07:59.570415+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Аксессуары/Ремни и пояса",,Ремень,2999.00,gender:Мужской|Размер:85|Цвет:Коричневый|Пол:Мужской|Возраст:Детский|Материал:Кожа искусственная,https://www.bebakids.ru/upload/iblock/m/415/100837_537_1.jpeg,599.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fremen-bu3209l-byblos-537%2F%3Fsize%3D85,Byblos,1130,1130
009c25b2-ef6b-a50f-a8fc-356bf0766b01,2021-05-29T21:07:55.246906+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Брюки",,Брюки,5799.00,"gender:Мужской|Размер:74|Цвет:Коричневый|Пол:Мужской|Возраст:Для малышей|Материал:Хлопок-98%, Эластан-2%",https://www.bebakids.ru/upload/iblock/m/0b8/100852_537_1.jpeg,1199.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbryuki-bu3306-byblos-537%2F%3Fsize%3D74,Byblos,1131,1131
009c25b2-41dd-af85-9905-c7aa50c95881,2021-05-29T21:07:53.878358+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Брюки",,Брюки,7199.00,"gender:Мужской|Размер:128|Цвет:Коричневый|Пол:Мужской|Возраст:Детский|Материал:Хлопок-98%, Эластан-2%",https://www.bebakids.ru/upload/iblock/m/5f6/100773_537_1.jpeg,1499.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbryuki-bu3140-byblos-537%2F%3Fsize%3D128,Byblos,1132,1132
009c25b2-b030-a53f-a7e2-bec401cf0c91,2021-05-29T21:07:52.439273+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Головные уборы",,Наушники,2499.00,gender:Женский|Размер:UNI|Цвет:Черный|Пол:Женский|Возраст:Детский,https://www.bebakids.ru/upload/iblock/m/a1f/135975_7_1.jpeg,399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fnaushniki-teplye-nt1-multibrand-7%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Multibrand,1133,1133
009c25b2-84e0-acc3-9285-48a877a00501,2021-05-29T21:07:50.740367+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Верхняя одежда",,Куртка,17999.00,gender:Мужской|Размер:152|Цвет:Синий|Пол:Мужской|Возраст:Детский|Материал:Нейлон-100%,https://www.bebakids.ru/upload/iblock/m/a07/167926_1215_1.jpeg,5399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fkurtka-j795-jeckerson-1215%2F%3Fsize%3D152,Jeckerson,1134,1134
009c25b2-d56a-ab58-8f98-c264f74d3b31,2021-05-29T21:07:48.296907+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Футболки и топы",,Топ,2699.00,"gender:Женский|Размер:168|Цвет:Белый|Пол:Женский|Возраст:Детский|Материал:Хлопок-94%, Эластан-6%",https://www.bebakids.ru/upload/iblock/m/193/197350_510_1.jpeg,1399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Ftop-y15024-y-clu-510%2F%3Fsize%3D168,Y-clu',1135,1135
009c25b2-3d69-a49b-9ff7-c2b6f23e7691,2021-05-29T21:07:45.697586+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Футболки и топы",,Футболка,2699.00,"gender:Женский|Размер:128|Цвет:Белый|Пол:Женский|Возраст:Детский|Материал:Хлопок-94%, Эластан-6%",https://www.bebakids.ru/upload/iblock/m/7d0/197398_205_1.jpeg,1399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Ffutbolka-y15113-y-clu-205%2F%3Fsize%3D128,Y-clu',1136,1136
009c25b2-c5ff-addf-92b4-1ae408c10cf1,2021-05-29T21:07:43.596869+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Футболки и топы",,Футболка,4799.00,"gender:Женский|Размер:134|Цвет:Белый|Пол:Женский|Возраст:Детский|Материал:Хлопок-94%, Эластан-6%",https://www.bebakids.ru/upload/iblock/m/8d7/198669_510_1.jpeg,2999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Ffutbolka-g3127-gaialuna-510%2F%3Fsize%3D134,Gaialuna,1137,1137
009c25b2-3269-ad20-b37b-1a2bb47ca9e1,2021-05-29T21:07:41.822171+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Футболки и топы",,Кроп-топ,3999.00,"gender:Женский|Размер:134|Цвет:Белый|Пол:Женский|Возраст:Детский|Материал:Хлопок-94%, Эластан-6%",https://www.bebakids.ru/upload/iblock/m/7aa/198722_510_1.jpeg,2799.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fkrop-top-g3200-gaialuna-510%2F%3Fsize%3D134,Gaialuna,1138,1138
009c25b2-efc1-a051-8014-0d0562f76bd1,2021-05-29T21:07:40.411979+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Комбинезоны",,Комбинезон,8699.00,gender:Женский|Размер:128|Цвет:Разноцветный|Пол:Женский|Возраст:Детский|Материал:Полиэстер-100%,https://www.bebakids.ru/upload/iblock/m/612/197414_245_1.jpeg,4399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fkombinezon-y15138-y-clu-245%2F%3Fsize%3D128,Y-clu',1139,1139
009c25b2-de2b-a969-82c3-33ea0af495d1,2021-05-29T21:07:39.019152+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Верхняя одежда/Куртки",,Куртка,7499.00,gender:Женский|Размер:104|Цвет:Голубой|Пол:Женский|Возраст:Детский|Материал:Хлопок-100%,https://www.bebakids.ru/upload/iblock/m/7bf/197612_54_1.jpeg,5299.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fkurtka-dzhinsovaya-yb15441-y-clu-54%2F%3Fsize%3D104,Y-clu',1140,1140
009c25b2-2c0f-a0b6-b221-6520349154f1,2021-05-29T21:07:37.573725+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Брюки",,Брюки,5699.00,"gender:Женский|Размер:128|Цвет:Синий|Пол:Женский|Возраст:Детский|Материал:Полиэстер-95%, Эластан-5%",https://www.bebakids.ru/upload/iblock/m/702/197468_44_1.jpeg,3999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbryuki-y15222-y-clu-44%2F%3Fsize%3D128,Y-clu',1141,1141
009c25b2-fb3a-ad7e-8a4b-346b63add3d1,2021-05-29T21:07:35.553310+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Футболки и топы",,Футболка,3299.00,"gender:Женский|Размер:128|Цвет:Белый|Пол:Женский|Возраст:Детский|Материал:Хлопок-94%, Эластан-6%",https://www.bebakids.ru/upload/iblock/m/bf6/197470_510_1.jpeg,2399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Ffutbolka-y15224-y-clu-510%2F%3Fsize%3D128,Y-clu',1142,1142
009c25b2-26cb-a966-8dba-9cbfac580931,2021-05-29T21:07:34.137403+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Верхняя одежда/Куртки",,Куртка,7999.00,gender:Женский|Размер:140|Цвет:Голубой|Пол:Женский|Возраст:Детский|Материал:Хлопок-100%,https://www.bebakids.ru/upload/iblock/m/28c/197477_54_1.jpeg,5599.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fkurtka-dzhinsovaya-y15233-y-clu-54%2F%3Fsize%3D140,Y-clu',1143,1143
